C:\Users\Admin\Desktop\CNAP\dan\AA19_metal_stability_310125_Admin, SYBR Green, 01-31-2025, 17Hr 10Min.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 1	P	 1	 5	SypO2	 20	     1742	43.7
 1	P	 1	 5	SypO2	 20	     1743	43.7
 1	P	 1	 5	SypO2	 21	     1745	44.8
 1	P	 1	 5	SypO2	 21	     1742	44.8
 1	P	 1	 5	SypO2	 21	     1743	44.8
 1	P	 1	 5	SypO2	 22	     1745	45.7
 1	P	 1	 5	SypO2	 22	     1744	45.7
 1	P	 1	 5	SypO2	 22	     1745	45.8
 1	P	 1	 5	SypO2	 23	     1747	46.7
 1	P	 1	 5	SypO2	 23	     1751	46.7
 1	P	 1	 5	SypO2	 23	     1750	46.7
 1	P	 1	 5	SypO2	 24	     1754	47.7
 1	P	 1	 5	SypO2	 24	     1754	47.8
 1	P	 1	 5	SypO2	 24	     1755	47.8
 1	P	 1	 5	SypO2	 25	     1761	48.7
 1	P	 1	 5	SypO2	 25	     1761	48.7
 1	P	 1	 5	SypO2	 25	     1761	48.8
 1	P	 1	 5	SypO2	 26	     1772	49.7
 1	P	 1	 5	SypO2	 26	     1775	49.7
 1	P	 1	 5	SypO2	 26	     1775	49.7
 1	P	 1	 5	SypO2	 27	     1791	50.7
 1	P	 1	 5	SypO2	 27	     1794	50.8
 1	P	 1	 5	SypO2	 27	     1797	50.8
 1	P	 1	 5	SypO2	 28	     1824	51.7
 1	P	 1	 5	SypO2	 28	     1827	51.7
 1	P	 1	 5	SypO2	 28	     1827	51.7
 1	P	 1	 5	SypO2	 29	     1877	52.7
 1	P	 1	 5	SypO2	 29	     1883	52.8
 1	P	 1	 5	SypO2	 29	     1888	52.7
 1	P	 1	 5	SypO2	 30	     1962	53.7
 1	P	 1	 5	SypO2	 30	     1972	53.8
 1	P	 1	 5	SypO2	 30	     1981	53.8
 1	P	 1	 5	SypO2	 31	     2077	54.7
 1	P	 1	 5	SypO2	 31	     2088	54.8
 1	P	 1	 5	SypO2	 31	     2101	54.7
 1	P	 1	 5	SypO2	 32	     2212	55.7
 1	P	 1	 5	SypO2	 32	     2233	55.7
 1	P	 1	 5	SypO2	 32	     2254	55.7
 1	P	 1	 5	SypO2	 33	     2350	56.8
 1	P	 1	 5	SypO2	 33	     2366	57.0
 1	P	 1	 5	SypO2	 33	     2371	56.8
 1	P	 1	 5	SypO2	 34	     2437	57.7
 1	P	 1	 5	SypO2	 34	     2444	57.8
 1	P	 1	 5	SypO2	 34	     2450	57.8
 1	P	 1	 5	SypO2	 35	     2479	58.7
 1	P	 1	 5	SypO2	 35	     2478	58.8
 1	P	 1	 5	SypO2	 35	     2495	58.7
 1	P	 1	 5	SypO2	 36	     2482	59.7
 1	P	 1	 5	SypO2	 36	     2493	59.8
 1	P	 1	 5	SypO2	 36	     2494	59.8
 1	P	 1	 5	SypO2	 37	     2485	60.7
 1	P	 1	 5	SypO2	 37	     2488	60.8
 1	P	 1	 5	SypO2	 37	     2480	60.8
 1	P	 1	 5	SypO2	 38	     2464	61.7
 1	P	 1	 5	SypO2	 38	     2459	61.8
 1	P	 1	 5	SypO2	 38	     2459	61.8
 1	P	 1	 5	SypO2	 39	     2436	62.8
 1	P	 1	 5	SypO2	 39	     2439	63.0
 1	P	 1	 5	SypO2	 39	     2434	62.8
 1	P	 1	 5	SypO2	 40	     2402	63.8
 1	P	 1	 5	SypO2	 40	     2394	63.8
 1	P	 1	 5	SypO2	 40	     2404	63.8
 1	P	 1	 5	SypO2	 41	     2369	64.7
 1	P	 1	 5	SypO2	 41	     2368	64.9
 1	P	 1	 5	SypO2	 41	     2361	64.7
 1	P	 1	 5	SypO2	 42	     2314	65.9
 1	P	 1	 5	SypO2	 42	     2323	65.9
 1	P	 1	 5	SypO2	 42	     2320	65.9
 1	P	 1	 5	SypO2	 43	     2290	66.7
 1	P	 1	 5	SypO2	 43	     2295	66.9
 1	P	 1	 5	SypO2	 43	     2288	67.0
 1	P	 1	 5	SypO2	 44	     2259	67.7
 1	P	 1	 5	SypO2	 44	     2256	67.7
 1	P	 1	 5	SypO2	 44	     2257	67.7
 1	P	 1	 5	SypO2	 45	     2224	68.7
 1	P	 1	 5	SypO2	 45	     2226	68.9
 1	P	 1	 5	SypO2	 45	     2222	68.9
 1	P	 1	 5	SypO2	 46	     2189	69.9
 1	P	 1	 5	SypO2	 46	     2190	70.0
 1	P	 1	 5	SypO2	 46	     2189	70.0
 1	P	 1	 5	SypO2	 47	     2170	70.7
 1	P	 1	 5	SypO2	 47	     2165	70.9
 1	P	 1	 5	SypO2	 47	     2158	71.0
 1	P	 1	 5	SypO2	 48	     2137	71.7
 1	P	 1	 5	SypO2	 48	     2128	71.7
 1	P	 1	 5	SypO2	 48	     2136	71.9
 1	P	 1	 5	SypO2	 49	     2113	72.7
 1	P	 1	 5	SypO2	 49	     2113	72.7
 1	P	 1	 5	SypO2	 49	     2112	73.0
 1	P	 1	 5	SypO2	 50	     2083	73.7
 1	P	 1	 5	SypO2	 50	     2080	73.9
 1	P	 1	 5	SypO2	 50	     2084	74.0
 1	P	 1	 5	SypO2	 51	     2052	74.9
 1	P	 1	 5	SypO2	 51	     2059	75.0
 1	P	 1	 5	SypO2	 51	     2063	74.9
 1	P	 1	 5	SypO2	 52	     2037	75.7
 1	P	 1	 5	SypO2	 52	     2040	75.9
 1	P	 1	 5	SypO2	 52	     2029	76.0
 1	P	 1	 5	SypO2	 53	     2011	77.0
 1	P	 1	 5	SypO2	 53	     2018	76.9
 1	P	 1	 5	SypO2	 53	     2013	76.9
 1	P	 1	 5	SypO2	 54	     1992	77.7
 1	P	 1	 5	SypO2	 54	     1989	78.0
 1	P	 1	 5	SypO2	 54	     1990	77.9
 1	P	 1	 5	SypO2	 55	     1971	78.9
 1	P	 1	 5	SypO2	 55	     1969	79.0
 1	P	 1	 5	SypO2	 55	     1974	79.0
 1	P	 1	 5	SypO2	 56	     1955	79.7
 1	P	 1	 5	SypO2	 56	     1953	80.0
 1	P	 1	 5	SypO2	 56	     1956	80.0
 1	P	 1	 5	SypO2	 57	     1940	81.0
 1	P	 1	 5	SypO2	 57	     1941	81.0
 1	P	 1	 5	SypO2	 57	     1941	80.9
 1	P	 1	 5	SypO2	 58	     1930	81.7
 1	P	 1	 5	SypO2	 58	     1929	81.9
 1	P	 1	 5	SypO2	 58	     1928	82.0
 1	P	 1	 5	SypO2	 59	     1912	83.0
 1	P	 1	 5	SypO2	 59	     1913	83.0
 1	P	 1	 5	SypO2	 59	     1914	83.0
 1	P	 1	 5	SypO2	 60	     1891	83.9
 1	P	 1	 5	SypO2	 60	     1901	84.0
 1	P	 1	 5	SypO2	 60	     1897	84.0
 1	P	 1	 5	SypO2	 61	     1879	84.7
 1	P	 1	 5	SypO2	 61	     1879	84.9
 1	P	 1	 5	SypO2	 61	     1880	85.0
 1	P	 1	 5	SypO2	 62	     1866	85.9
 1	P	 1	 5	SypO2	 62	     1869	85.9
 1	P	 1	 5	SypO2	 62	     1862	85.9
 1	P	 1	 5	SypO2	 63	     1852	86.7
 1	P	 1	 5	SypO2	 63	     1854	86.9
 1	P	 1	 5	SypO2	 63	     1850	86.9
 1	P	 1	 5	SypO2	 64	     1839	87.9
 1	P	 1	 5	SypO2	 64	     1844	88.0
 1	P	 1	 5	SypO2	 64	     1837	88.0
 1	P	 1	 5	SypO2	 65	     1828	88.9
 1	P	 1	 5	SypO2	 65	     1831	88.9
 1	P	 1	 5	SypO2	 65	     1827	89.0
 1	P	 1	 5	SypO2	 66	     1820	89.9
 1	P	 1	 5	SypO2	 66	     1821	89.9
 1	P	 1	 5	SypO2	 66	     1821	89.7
 1	P	 1	 5	SypO2	 67	     1811	90.9
 1	P	 1	 5	SypO2	 67	     1804	90.9
 1	P	 1	 5	SypO2	 67	     1809	90.9
 1	P	 1	 5	SypO2	 68	     1804	91.7
 1	P	 1	 5	SypO2	 68	     1801	91.7
 1	P	 1	 5	SypO2	 68	     1797	91.7
 1	P	 1	 5	SypO2	 69	     1794	92.9
 1	P	 1	 5	SypO2	 69	     1794	92.9
 1	P	 1	 5	SypO2	 69	     1789	92.9
 1	P	 1	 5	SypO2	 70	     1789	93.7
 1	P	 1	 5	SypO2	 70	     1783	93.9
 1	P	 1	 5	SypO2	 70	     1787	93.9
 1	P	 1	 5	SypO2	 71	     1780	94.7
 1	P	 1	 5	SypO2	 71	     1779	94.7
 1	P	 1	 5	SypO2	 71	     1778	94.9
 1	P	 1	 6	SypO2	  1	     1766	24.8
 1	P	 1	 6	SypO2	  1	     1762	24.8
 1	P	 1	 6	SypO2	  1	     1763	24.8
 1	P	 1	 6	SypO2	  2	     1769	25.6
 1	P	 1	 6	SypO2	  2	     1765	25.6
 1	P	 1	 6	SypO2	  2	     1767	25.6
 1	P	 1	 6	SypO2	  3	     1765	26.8
 1	P	 1	 6	SypO2	  3	     1764	26.8
 1	P	 1	 6	SypO2	  3	     1762	26.8
 1	P	 1	 6	SypO2	  4	     1762	27.8
 1	P	 1	 6	SypO2	  4	     1762	28.0
 1	P	 1	 6	SypO2	  4	     1761	28.0
 1	P	 1	 6	SypO2	  5	     1763	28.8
 1	P	 1	 6	SypO2	  5	     1762	28.8
 1	P	 1	 6	SypO2	  5	     1765	28.8
 1	P	 1	 6	SypO2	  6	     1758	29.8
 1	P	 1	 6	SypO2	  6	     1761	29.8
 1	P	 1	 6	SypO2	  6	     1757	29.8
 1	P	 1	 6	SypO2	  7	     1761	30.8
 1	P	 1	 6	SypO2	  7	     1757	31.0
 1	P	 1	 6	SypO2	  7	     1757	30.8
 1	P	 1	 6	SypO2	  8	     1760	32.0
 1	P	 1	 6	SypO2	  8	     1756	31.8
 1	P	 1	 6	SypO2	  8	     1759	31.8
 1	P	 1	 6	SypO2	  9	     1757	32.8
 1	P	 1	 6	SypO2	  9	     1757	32.8
 1	P	 1	 6	SypO2	  9	     1757	32.8
 1	P	 1	 6	SypO2	 10	     1761	33.8
 1	P	 1	 6	SypO2	 10	     1757	33.8
 1	P	 1	 6	SypO2	 10	     1756	33.8
 1	P	 1	 6	SypO2	 11	     1756	34.7
 1	P	 1	 6	SypO2	 11	     1755	34.8
 1	P	 1	 6	SypO2	 11	     1757	34.7
 1	P	 1	 6	SypO2	 12	     1758	35.7
 1	P	 1	 6	SypO2	 12	     1755	35.8
 1	P	 1	 6	SypO2	 12	     1754	35.7
 1	P	 1	 6	SypO2	 13	     1759	36.8
 1	P	 1	 6	SypO2	 13	     1753	36.8
 1	P	 1	 6	SypO2	 13	     1756	36.7
 1	P	 1	 6	SypO2	 14	     1756	37.7
 1	P	 1	 6	SypO2	 14	     1758	37.8
 1	P	 1	 6	SypO2	 14	     1757	37.8
 1	P	 1	 6	SypO2	 15	     1757	38.8
 1	P	 1	 6	SypO2	 15	     1759	38.8
 1	P	 1	 6	SypO2	 15	     1761	38.7
 1	P	 1	 6	SypO2	 16	     1756	39.8
 1	P	 1	 6	SypO2	 16	     1757	39.7
 1	P	 1	 6	SypO2	 16	     1754	39.7
 1	P	 1	 6	SypO2	 17	     1756	40.8
 1	P	 1	 6	SypO2	 17	     1755	40.8
 1	P	 1	 6	SypO2	 17	     1756	40.8
 1	P	 1	 6	SypO2	 18	     1759	41.7
 1	P	 1	 6	SypO2	 18	     1757	41.7
 1	P	 1	 6	SypO2	 18	     1756	41.7
 1	P	 1	 6	SypO2	 19	     1753	42.7
 1	P	 1	 6	SypO2	 19	     1755	42.7
 1	P	 1	 6	SypO2	 19	     1759	42.7
 1	P	 1	 6	SypO2	 20	     1759	43.7
 1	P	 1	 6	SypO2	 20	     1759	43.7
 1	P	 1	 6	SypO2	 20	     1760	43.7
 1	P	 1	 6	SypO2	 21	     1763	44.8
 1	P	 1	 6	SypO2	 21	     1758	44.8
 1	P	 1	 6	SypO2	 21	     1762	44.8
 1	P	 1	 6	SypO2	 22	     1764	45.7
 1	P	 1	 6	SypO2	 22	     1762	45.7
 1	P	 1	 6	SypO2	 22	     1762	45.8
 1	P	 1	 6	SypO2	 23	     1765	46.7
 1	P	 1	 6	SypO2	 23	     1769	46.7
 1	P	 1	 6	SypO2	 23	     1769	46.7
 1	P	 1	 6	SypO2	 24	     1773	47.7
 1	P	 1	 6	SypO2	 24	     1769	47.8
 1	P	 1	 6	SypO2	 24	     1772	47.8
 1	P	 1	 6	SypO2	 25	     1778	48.7
 1	P	 1	 6	SypO2	 25	     1777	48.7
 1	P	 1	 6	SypO2	 25	     1778	48.8
 1	P	 1	 6	SypO2	 26	     1790	49.7
 1	P	 1	 6	SypO2	 26	     1792	49.7
 1	P	 1	 6	SypO2	 26	     1794	49.7
 1	P	 1	 6	SypO2	 27	     1815	50.7
 1	P	 1	 6	SypO2	 27	     1816	50.8
 1	P	 1	 6	SypO2	 27	     1816	50.8
 1	P	 1	 6	SypO2	 28	     1848	51.7
 1	P	 1	 6	SypO2	 28	     1853	51.7
 1	P	 1	 6	SypO2	 28	     1854	51.7
 1	P	 1	 6	SypO2	 29	     1905	52.7
 1	P	 1	 6	SypO2	 29	     1906	52.8
 1	P	 1	 6	SypO2	 29	     1913	52.7
 1	P	 1	 6	SypO2	 30	     1994	53.7
 1	P	 1	 6	SypO2	 30	     2005	53.8
 1	P	 1	 6	SypO2	 30	     2012	53.8
 1	P	 1	 6	SypO2	 31	     2119	54.7
 1	P	 1	 6	SypO2	 31	     2138	54.8
 1	P	 1	 6	SypO2	 31	     2147	54.7
 1	P	 1	 6	SypO2	 32	     2271	55.7
 1	P	 1	 6	SypO2	 32	     2286	55.7
 1	P	 1	 6	SypO2	 32	     2302	55.7
 1	P	 1	 6	SypO2	 33	     2413	56.8
 1	P	 1	 6	SypO2	 33	     2424	57.0
 1	P	 1	 6	SypO2	 33	     2439	56.8
 1	P	 1	 6	SypO2	 34	     2517	57.7
 1	P	 1	 6	SypO2	 34	     2520	57.8
 1	P	 1	 6	SypO2	 34	     2526	57.8
 1	P	 1	 6	SypO2	 35	     2559	58.7
 1	P	 1	 6	SypO2	 35	     2554	58.8
 1	P	 1	 6	SypO2	 35	     2559	58.7
 1	P	 1	 6	SypO2	 36	     2564	59.7
 1	P	 1	 6	SypO2	 36	     2568	59.8
 1	P	 1	 6	SypO2	 36	     2567	59.8
 1	P	 1	 6	SypO2	 37	     2557	60.7
 1	P	 1	 6	SypO2	 37	     2561	60.8
 1	P	 1	 6	SypO2	 37	     2556	60.8
 1	P	 1	 6	SypO2	 38	     2533	61.7
 1	P	 1	 6	SypO2	 38	     2535	61.8
 1	P	 1	 6	SypO2	 38	     2529	61.8
 1	P	 1	 6	SypO2	 39	     2507	62.8
 1	P	 1	 6	SypO2	 39	     2513	63.0
 1	P	 1	 6	SypO2	 39	     2511	62.8
 1	P	 1	 6	SypO2	 40	     2471	63.8
 1	P	 1	 6	SypO2	 40	     2472	63.8
 1	P	 1	 6	SypO2	 40	     2477	63.8
 1	P	 1	 6	SypO2	 41	     2431	64.7
 1	P	 1	 6	SypO2	 41	     2433	64.9
 1	P	 1	 6	SypO2	 41	     2432	64.7
 1	P	 1	 6	SypO2	 42	     2396	65.9
 1	P	 1	 6	SypO2	 42	     2388	65.9
 1	P	 1	 6	SypO2	 42	     2400	65.9
 1	P	 1	 6	SypO2	 43	     2360	66.7
 1	P	 1	 6	SypO2	 43	     2353	66.9
 1	P	 1	 6	SypO2	 43	     2350	67.0
 1	P	 1	 6	SypO2	 44	     2319	67.7
 1	P	 1	 6	SypO2	 44	     2315	67.7
 1	P	 1	 6	SypO2	 44	     2314	67.7
 1	P	 1	 6	SypO2	 45	     2283	68.7
 1	P	 1	 6	SypO2	 45	     2280	68.9
 1	P	 1	 6	SypO2	 45	     2286	68.9
 1	P	 1	 6	SypO2	 46	     2248	69.9
 1	P	 1	 6	SypO2	 46	     2253	70.0
 1	P	 1	 6	SypO2	 46	     2252	70.0
 1	P	 1	 6	SypO2	 47	     2220	70.7
 1	P	 1	 6	SypO2	 47	     2206	70.9
 1	P	 1	 6	SypO2	 47	     2213	71.0
 1	P	 1	 6	SypO2	 48	     2183	71.7
 1	P	 1	 6	SypO2	 48	     2186	71.7
 1	P	 1	 6	SypO2	 48	     2192	71.9
 1	P	 1	 6	SypO2	 49	     2154	72.7
 1	P	 1	 6	SypO2	 49	     2158	72.7
 1	P	 1	 6	SypO2	 49	     2158	73.0
 1	P	 1	 6	SypO2	 50	     2136	73.7
 1	P	 1	 6	SypO2	 50	     2128	73.9
 1	P	 1	 6	SypO2	 50	     2126	74.0
 1	P	 1	 6	SypO2	 51	     2100	74.9
 1	P	 1	 6	SypO2	 51	     2103	75.0
 1	P	 1	 6	SypO2	 51	     2097	74.9
 1	P	 1	 6	SypO2	 52	     2074	75.7
 1	P	 1	 6	SypO2	 52	     2077	75.9
 1	P	 1	 6	SypO2	 52	     2078	76.0
 1	P	 1	 6	SypO2	 53	     2052	77.0
 1	P	 1	 6	SypO2	 53	     2050	76.9
 1	P	 1	 6	SypO2	 53	     2054	76.9
 1	P	 1	 6	SypO2	 54	     2029	77.7
 1	P	 1	 6	SypO2	 54	     2026	78.0
 1	P	 1	 6	SypO2	 54	     2026	77.9
 1	P	 1	 6	SypO2	 55	     2008	78.9
 1	P	 1	 6	SypO2	 55	     2007	79.0
 1	P	 1	 6	SypO2	 55	     2007	79.0
 1	P	 1	 6	SypO2	 56	     1987	79.7
 1	P	 1	 6	SypO2	 56	     1987	80.0
 1	P	 1	 6	SypO2	 56	     1989	80.0
 1	P	 1	 6	SypO2	 57	     1973	81.0
 1	P	 1	 6	SypO2	 57	     1973	81.0
 1	P	 1	 6	SypO2	 57	     1974	80.9
 1	P	 1	 6	SypO2	 58	     1958	81.7
 1	P	 1	 6	SypO2	 58	     1951	81.9
 1	P	 1	 6	SypO2	 58	     1953	82.0
 1	P	 1	 6	SypO2	 59	     1936	83.0
 1	P	 1	 6	SypO2	 59	     1934	83.0
 1	P	 1	 6	SypO2	 59	     1943	83.0
 1	P	 1	 6	SypO2	 60	     1923	83.9
 1	P	 1	 6	SypO2	 60	     1921	84.0
 1	P	 1	 6	SypO2	 60	     1923	84.0
 1	P	 1	 6	SypO2	 61	     1910	84.7
 1	P	 1	 6	SypO2	 61	     1904	84.9
 1	P	 1	 6	SypO2	 61	     1905	85.0
 1	P	 1	 6	SypO2	 62	     1888	85.9
 1	P	 1	 6	SypO2	 62	     1886	85.9
 1	P	 1	 6	SypO2	 62	     1892	85.9
 1	P	 1	 6	SypO2	 63	     1876	86.7
 1	P	 1	 6	SypO2	 63	     1876	86.9
 1	P	 1	 6	SypO2	 63	     1876	86.9
 1	P	 1	 6	SypO2	 64	     1862	87.9
 1	P	 1	 6	SypO2	 64	     1858	88.0
 1	P	 1	 6	SypO2	 64	     1861	88.0
 1	P	 1	 6	SypO2	 65	     1853	88.9
 1	P	 1	 6	SypO2	 65	     1849	88.9
 1	P	 1	 6	SypO2	 65	     1845	89.0
 1	P	 1	 6	SypO2	 66	     1835	89.9
 1	P	 1	 6	SypO2	 66	     1841	89.9
 1	P	 1	 6	SypO2	 66	     1835	89.7
 1	P	 1	 6	SypO2	 67	     1828	90.9
 1	P	 1	 6	SypO2	 67	     1829	90.9
 1	P	 1	 6	SypO2	 67	     1829	90.9
 1	P	 1	 6	SypO2	 68	     1822	91.7
 1	P	 1	 6	SypO2	 68	     1822	91.7
 1	P	 1	 6	SypO2	 68	     1818	91.7
 1	P	 1	 6	SypO2	 69	     1811	92.9
 1	P	 1	 6	SypO2	 69	     1812	92.9
 1	P	 1	 6	SypO2	 69	     1809	92.9
 1	P	 1	 6	SypO2	 70	     1803	93.7
 1	P	 1	 6	SypO2	 70	     1805	93.9
 1	P	 1	 6	SypO2	 70	     1804	93.9
 1	P	 1	 6	SypO2	 71	     1794	94.7
 1	P	 1	 6	SypO2	 71	     1793	94.7
 1	P	 1	 6	SypO2	 71	     1794	94.9
 1	P	 1	 7	SypO2	  1	     1764	24.8
 1	P	 1	 7	SypO2	  1	     1765	24.8
 1	P	 1	 7	SypO2	  1	     1768	24.8
 1	P	 1	 7	SypO2	  2	     1766	25.6
 1	P	 1	 7	SypO2	  2	     1764	25.6
 1	P	 1	 7	SypO2	  2	     1766	25.6
 1	P	 1	 7	SypO2	  3	     1768	26.8
 1	P	 1	 7	SypO2	  3	     1767	26.8
 1	P	 1	 7	SypO2	  3	     1765	26.8
 1	P	 1	 7	SypO2	  4	     1764	27.8
 1	P	 1	 7	SypO2	  4	     1762	28.0
 1	P	 1	 7	SypO2	  4	     1766	28.0
 1	P	 1	 7	SypO2	  5	     1761	28.8
 1	P	 1	 7	SypO2	  5	     1762	28.8
 1	P	 1	 7	SypO2	  5	     1763	28.8
 1	P	 1	 7	SypO2	  6	     1764	29.8
 1	P	 1	 7	SypO2	  6	     1761	29.8
 1	P	 1	 7	SypO2	  6	     1762	29.8
 1	P	 1	 7	SypO2	  7	     1760	30.8
 1	P	 1	 7	SypO2	  7	     1762	31.0
 1	P	 1	 7	SypO2	  7	     1762	30.8
 1	P	 1	 7	SypO2	  8	     1762	32.0
 1	P	 1	 7	SypO2	  8	     1761	31.8
 1	P	 1	 7	SypO2	  8	     1759	31.8
 1	P	 1	 7	SypO2	  9	     1761	32.8
 1	P	 1	 7	SypO2	  9	     1764	32.8
 1	P	 1	 7	SypO2	  9	     1759	32.8
 1	P	 1	 7	SypO2	 10	     1763	33.8
 1	P	 1	 7	SypO2	 10	     1758	33.8
 1	P	 1	 7	SypO2	 10	     1760	33.8
 1	P	 1	 7	SypO2	 11	     1762	34.7
 1	P	 1	 7	SypO2	 11	     1759	34.8
 1	P	 1	 7	SypO2	 11	     1759	34.7
 1	P	 1	 7	SypO2	 12	     1760	35.7
 1	P	 1	 7	SypO2	 12	     1754	35.8
 1	P	 1	 7	SypO2	 12	     1756	35.7
 1	P	 1	 7	SypO2	 13	     1759	36.8
 1	P	 1	 7	SypO2	 13	     1758	36.8
 1	P	 1	 7	SypO2	 13	     1757	36.7
 1	P	 1	 7	SypO2	 14	     1760	37.7
 1	P	 1	 7	SypO2	 14	     1755	37.8
 1	P	 1	 7	SypO2	 14	     1754	37.8
 1	P	 1	 7	SypO2	 15	     1759	38.8
 1	P	 1	 7	SypO2	 15	     1757	38.8
 1	P	 1	 7	SypO2	 15	     1756	38.7
 1	P	 1	 7	SypO2	 16	     1760	39.8
 1	P	 1	 7	SypO2	 16	     1757	39.7
 1	P	 1	 7	SypO2	 16	     1757	39.7
 1	P	 1	 7	SypO2	 17	     1756	40.8
 1	P	 1	 7	SypO2	 17	     1759	40.8
 1	P	 1	 7	SypO2	 17	     1758	40.8
 1	P	 1	 7	SypO2	 18	     1756	41.7
 1	P	 1	 7	SypO2	 18	     1759	41.7
 1	P	 1	 7	SypO2	 18	     1756	41.7
 1	P	 1	 7	SypO2	 19	     1758	42.7
 1	P	 1	 7	SypO2	 19	     1761	42.7
 1	P	 1	 7	SypO2	 19	     1757	42.7
 1	P	 1	 7	SypO2	 20	     1762	43.7
 1	P	 1	 7	SypO2	 20	     1759	43.7
 1	P	 1	 7	SypO2	 20	     1761	43.7
 1	P	 1	 7	SypO2	 21	     1763	44.8
 1	P	 1	 7	SypO2	 21	     1764	44.8
 1	P	 1	 7	SypO2	 21	     1766	44.8
 1	P	 1	 7	SypO2	 22	     1770	45.7
 1	P	 1	 7	SypO2	 22	     1763	45.7
 1	P	 1	 7	SypO2	 22	     1770	45.8
 1	P	 1	 7	SypO2	 23	     1776	46.7
 1	P	 1	 7	SypO2	 23	     1773	46.7
 1	P	 1	 7	SypO2	 23	     1774	46.7
 1	P	 1	 7	SypO2	 24	     1775	47.7
 1	P	 1	 7	SypO2	 24	     1777	47.8
 1	P	 1	 7	SypO2	 24	     1780	47.8
 1	P	 1	 7	SypO2	 25	     1785	48.7
 1	P	 1	 7	SypO2	 25	     1785	48.7
 1	P	 1	 7	SypO2	 25	     1787	48.8
 1	P	 1	 7	SypO2	 26	     1798	49.7
 1	P	 1	 7	SypO2	 26	     1800	49.7
 1	P	 1	 7	SypO2	 26	     1802	49.7
 1	P	 1	 7	SypO2	 27	     1826	50.7
 1	P	 1	 7	SypO2	 27	     1830	50.8
 1	P	 1	 7	SypO2	 27	     1830	50.8
 1	P	 1	 7	SypO2	 28	     1872	51.7
 1	P	 1	 7	SypO2	 28	     1874	51.7
